Id,Location,Latitude,Longitude,Fatalities
155,Abuja,9.083333,7.533333,0
156,Abuja,9.083333,7.533333,0
157,Abuja,9.083333,7.533333,0
158,Abuja,9.083333,7.533333,0
159,Abuja,9.083333,7.533333,0
160,Abuja,9.083333,7.533333,0
161,Abuja,9.083333,7.533333,0
162,Abuja,9.083333,7.533333,0
163,Abuja,9.083333,7.533333,0
164,Abuja,9.083333,7.533333,0
165,Abuja,9.083333,7.533333,0
166,Abuja,9.083333,7.533333,0
167,Abuja,9.083333,7.533333,0
168,Abuja,9.083333,7.533333,0
169,Abuja,9.083333,7.533333,0
170,Abuja,9.083333,7.533333,0
171,Abuja,9.083333,7.533333,0
172,Abuja,9.083333,7.533333,0
173,Abuja,9.083333,7.533333,0
174,Abuja,9.083333,7.533333,0
175,Abuja,9.083333,7.533333,0
176,Abuja,9.083333,7.533333,0
177,Abuja,9.083333,7.533333,0
178,Abuja,9.083333,7.533333,0
179,Abuja,9.083333,7.533333,0
180,Abuja,9.083333,7.533333,0
181,Abuja,9.083333,7.533333,0
182,Abuja,9.083333,7.533333,0
183,Abuja,9.083333,7.533333,0
184,Abuja,9.083333,7.533333,0
185,Abuja,9.083333,7.533333,0
186,Abuja,9.083333,7.533333,0
187,Abuja,9.083333,7.533333,0
188,Abuja,9.083333,7.533333,0
189,Abuja,9.083333,7.533333,0
190,Abuja,9.083333,7.533333,0
191,Abuja,9.083333,7.533333,0
192,Abuja,9.083333,7.533333,0
193,Abuja,9.083333,7.533333,0
194,Abuja,9.083333,7.533333,0
195,Abuja,9.083333,7.533333,0
196,Abuja,9.083333,7.533333,0
197,Abuja,9.083333,7.533333,0
198,Abuja,9.083333,7.533333,0
199,Abuja,9.083333,7.533333,0
200,Abuja,9.083333,7.533333,0
201,Abuja,9.083333,7.533333,0
202,Abuja,9.083333,7.533333,0
203,Abuja,9.083333,7.533333,0
204,Abuja,9.083333,7.533333,0
205,Abuja,9.083333,7.533333,0
206,Abuja,9.083333,7.533333,0
207,Abuja,9.083333,7.533333,0
208,Abuja,9.083333,7.533333,0
209,Abuja,9.083333,7.533333,0
210,Abuja,9.083333,7.533333,0
211,Abuja,9.083333,7.533333,0
212,Abuja,9.083333,7.533333,0
213,Abuja,9.083333,7.533333,0
214,Abuja,9.083333,7.533333,0
215,Abuja,9.083333,7.533333,0
216,Abuja,9.083333,7.533333,0
217,Abuja,9.083333,7.533333,0
218,Abuja,9.083333,7.533333,0
219,Abuja,9.083333,7.533333,0
220,Abuja,9.083333,7.533333,0
221,Abuja,9.083333,7.533333,0
222,Abuja,9.083333,7.533333,0
223,Abuja,9.083333,7.533333,0
224,Abuja,9.083333,7.533333,0
225,Abuja,9.083333,7.533333,0
226,Abuja,9.083333,7.533333,0
227,Abuja,9.083333,7.533333,0
228,Abuja,9.083333,7.533333,0
229,Abuja,9.083333,7.533333,0
230,Abuja,9.083333,7.533333,0
231,Abuja,9.083333,7.533333,0
232,Abuja,9.083333,7.533333,0
233,Abuja,9.083333,7.533333,0
234,Abuja,9.083333,7.533333,0
235,Abuja,9.083333,7.533333,0
236,Abuja,9.083333,7.533333,0
